PCM_type_Wall,Thickness_Wall,Melting_Point_Wall,PCM_type_Roof,Thickness_Roof,Melting_Point_Roof,Roof_PCM_Position,wall_PCM_Position,IDD,EUI,TL,city,pareto,TL_phase
1.0,3.0,0.0,1.0,2.0,3.0,1.0,2.0,4.853528,45.585,0.0,Ardebial,False,0.0
1.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,4.853528,45.585,0.0,Ardebial,False,0.0
0.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,5.027565,46.875,0.0,Ardebial,False,0.0
1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,5.113832,47.917,1.0,Ardebial,True,1.0
0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,5.062232,47.47,1.0,Ardebial,False,1.0
1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,5.09986,47.917,1.0,Ardebial,False,1.0
1.0,3.0,0.0,0.0,2.0,1.0,1.0,2.0,4.939889,46.23,0.0,Ardebial,False,0.0
0.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,5.095901,47.52,0.0,Ardebial,False,0.0
1.0,0.0,4.0,1.0,1.0,1.0,2.0,1.0,5.083407,47.718,1.0,Ardebial,False,1.0
1.0,0.0,3.0,0.0,3.0,3.0,1.0,1.0,5.035179,47.222,1.0,Ardebial,False,1.0
1.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,5.02514,46.974,0.0,Ardebial,False,0.0
1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,5.048566,47.123,0.0,Ardebial,False,0.0
1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.858312,45.685,0.0,Ardebial,False,0.0
0.0,1.0,2.0,0.0,2.0,3.0,2.0,1.0,5.034684,47.024,0.0,Ardebial,False,0.0
1.0,1.0,3.0,1.0,0.0,4.0,1.0,1.0,5.084356,47.718,1.0,Ardebial,False,1.0
0.0,3.0,2.0,0.0,3.0,3.0,1.0,2.0,4.910633,46.032,0.0,Ardebial,False,0.0
